"","hashtags","count","frequency"
"1","china",809012,0.064564057436118
"2","lockdown",529642,0.0480982858218828
"3","stayhome",501988,0.0478319205642468
"4","stayathome",373966,0.0394590997497376
"5","socialdistancing",371895,0.0388079132217746
"6","wuhan",306796,0.0354096018566083
"7","hydroxychloroquine",301733,0.0352385415994108
"8","indiafightscorona",275311,0.0348386721711199
"9","breaking",273981,0.0342714723709389
"10","trump",270872,0.0338379053581474
"11","iran",266462,0.0287102133777353
"12","stayhomesavelives",263091,0.0261615441622279
"13","pandemic",223223,0.0255729939840809
"14","nhs",203407,0.0255717078167335
"15","india",198831,0.0233129407213187
"16","ppe",198821,0.0228874765628155
"17","watch",181259,0.0224877357512594
"18","staysafe",177951,0.0222508237258776
"19","chinesevirus",174843,0.0216188010913902
"20","togetherathome",173001,0.0215240105578905
"21","flatteningthecurve",168087,0.0215058755982929
"22","flattenthecurve",167350,0.0208822130515632
"23","selfquarantine",167209,0.0206796416943557
"24","who",162360,0.0201575863680666
"25","cdnpoli",160785,0.018255344861337
"26","taiwan",156726,0.0180011981935008
"27","sarscov2",141936,0.0170342575817636
"28","worldhealthday",139960,0.0163937462427836
"29","quarantine",132442,0.0153642978979653
"30","covid19pandemic",127462,0.014819991876567
"31","health",119458,0.014419222131133
"32","ccpvirus",115226,0.014257165045367
"33","prevention",112110,0.013832601204007
"34","hygiene",110850,0.0137990322362412
"35","covid19peru",107549,0.0131900319972713
"36","tablighijamaat",107288,0.012987846490268
"37","takeresponsibility",102553,0.0120156325924066
"38","chinana",100981,0.011690360870262
"39","maga",93422,0.0111086273790559
"40","qanon",90893,0.0110124220614742
"41","mentalhealth",86370,0.0109338372365511
"42","stayhomestaysafe",85622,0.0107006550964767
"43","ccp",85011,0.0105317813237697
"44","us",83198,0.0103450298249346
"45","nyc",81885,0.0101666384138573
"46","italy",80433,0.0100535843040253
"47","pakistan",79046,0.00999364890563879
"48","hongkong",78167,0.00993242733990496
"49","chinavirus",77701,0.00973101353331006
"50","chinese",77225,0.00957332941652504
"51","fakenews",75659,0.00934940768135152
"52","vaccine",74433,0.00911931234291074
"53","auspol",72692,0.00880021422403337
"54","russia",70903,0.00877950692974105
"55","trump2020",68422,0.00866092230031545
"56","africa",68261,0.00859571361580484
"57","dyk",67339,0.00849925106475364
"58","stayhomesavelivesna",66832,0.00846143774474157
"59","indiafightscoronana",66082,0.00846002296065949
"60","cdc",65788,0.00827108497733387
"61","charleslieber",65777,0.00824690503120371
"62","ai",64308,0.00803005721644061
"63","newyork",64120,0.00791738895681282
"64","uk",62434,0.00788909327517113
"65","kag",61558,0.00785706770822213
"66","usa",61338,0.00782439905759946
"67","physicaldistancing",61089,0.00764857998121681
"68","inthistogether",60835,0.0076128245289605
"69","healthcare",59468,0.00760497890814167
"70","odisha",59190,0.00751777676199139
"71","stayhomena",59129,0.0073874880097049
"72","strongertogether",58451,0.00730157203090197
"73","tips",57438,0.00718916100474364
"74","wuhanvirus",56770,0.00716832509371658
"75","billgates",55896,0.00699970855447909
"76","bt21na",55734,0.00699392080141602
"77","wwg1wga",54423,0.00691919447853502
"78","chinaliedpeopledied",54378,0.00691392119241089
"79","rules",53797,0.00689128464709754
"80","coronavirususa",53756,0.00677861638746975
"81","bt21stayathome",53580,0.00635263776202766
"82","pandemicna",52704,0.00633488865263424
"83","canada",49392,0.00628048377384136
"84","turkey",49254,0.00627225230281833
"85","eu",48831,0.00619405332809949
"86","borisjohnson",48767,0.0061627994615589
"87","tablighijamat",48159,0.00614260663420552
"88","germany",47916,0.00613797643175506
"89","cashappwisdom",47759,0.00603714091172288
"90","medtwitter",47723,0.00602170690355468
"91","superm",46939,0.00602080658641154
"92","cdnpolina",46819,0.00601231788191903
"93","paycheckprotectionprogram",46812,0.00599212505456565
"94","ohio",46746,0.00597514764558064
"95","update",46589,0.00593489060760861
"96","healthforall",46457,0.00592357233495193
"97","ramadan",46144,0.00591328299617314
"98","pmcares",46056,0.00587829924432524
"99","rentrelief",45976,0.00585141834676564
"100","covid19india",45704,0.00577013257041316
"101","air7hd",45495,0.00574453784020091
"102","losangelesair7hd",44863,0.00572061512754021
"103","earthday",44664,0.00563765733363618
"104","climatechange",44478,0.00558711095688536
"105","lockdownextension",43833,0.00557540683402448
"106","globalcitizen",43440,0.00552884757605043
"107","easter",43349,0.00550801166502337
"108","coronavirusuk",42987,0.00548961947195628
"109","france",42825,0.00547868704950381
"110","stayathomesavelives",42682,0.00543006992377401
"111","lockdownna",42597,0.00542106675234256
"112","kag2020",42219,0.00541656516662684
"113","quarantinelife",42149,0.00530428275720324
"114","coronawarriors",42114,0.00530145318903908
"115","worldhealthorganization",41241,0.00528987768291293
"116","harvarduniversity",41219,0.00524138917391786
"117","nabreaking",41129,0.00523032813473066
"118","nizamuddinmarkaz",40752,0.00515984616409592
"119","marr",40666,0.00515637351225808
"120","spain",40118,0.00514569832327508
"121","5g",40091,0.00514338322204985
"122","nigeria",40008,0.00507341571835405
"123","hydroxycloroquine",39990,0.00504447695303869
"124","cuba",39446,0.0050379174995672
"125","usnavy",39221,0.00502222625792954
"126","taiwancanhelp",39170,0.00500794980037397
"127","fauci",39048,0.00496666382852405
"128","srilanka",38937,0.00496331979342095
"129","covid19uk",38616,0.00496306255995148
"130","florida",38590,0.0049513584370906
"131","healthyathome",38588,0.0049001689766661
"132","healthcareheroes",38497,0.00481335268072002
"133","trumppressconf",38099,0.00478557146601727
"134","n95masks",37424,0.00477476766029954
"135","onpoli",37208,0.00462943075004907
"136","japan",37124,0.00461914141127027
"137","kashmir",35994,0.00459354668105802
"138","covidiots",35914,0.00458441489289184
"139","lka",35715,0.00458261425860555
"140","economy",35644,0.0045787557565635
"141","crisis",35630,0.00456062079696588
"142","humanrights",35600,0.00452087822593279
"143","brexit",35459,0.00451521908960445
"144","dogs",35150,0.00451007442021505
"145","healthworkers",35106,0.00450119986551834
"146","southkorea",35066,0.00450042816510993
"147","lockdown2",34997,0.00449991369817099
"148","foxnews",34991,0.00445129657244119
"149","trumpvirus",34987,0.00444885285448123
"150","remdesivir",34609,0.00444846700427702
"151","trumpownseverydeath",34590,0.00432075058668524
"152","masks",34587,0.00429554170667719
"153","newzealand",33594,0.00429168320463514
"154","panorama",33398,0.00425657083605251
"155","israel",33368,0.0042215870842046
"156","lupus",33095,0.00420563860909747
"157","delhi",32823,0.00418943290052087
"158","publichealth",32699,0.00417631399357791
"159","aprilfoolsday",32573,0.00408898323069289
"160","maharashtra",32471,0.00408692536293713
"161","coronavirusindia",31792,0.004060301698847
"162","wetmarkets",31776,0.00405837244782598
"163","vaccines",31569,0.00404679694169983
"164","qanon2020",31554,0.00403547866904316
"165","mumbai",31464,0.00402055912781391
"166","covid19lagos",31376,0.00400949808862671
"167","gujarat",31260,0.00400023768372579
"168","thailand",31174,0.0039984370494395
"169","coronalockdown",31102,0.00395843724493694
"170","news",31088,0.00395483597636436
"171","clapforourcarers",30777,0.00393335698166363
"172","qanon2018",30749,0.00391342138777971
"173","wetmarketsna",30582,0.00390030248083675
"174","saudiarabia",30427,0.00389309994369159
"175","tedros",30325,0.00388358230532121
"176","clapforcarers",30269,0.00385438630653638
"177","coronavirustruth",30195,0.00384924163714698
"178","cybersecurity",29968,0.00383342177877459
"179","brazil",29928,0.0038268623253031
"180","nachina",29805,0.00380615503101078
"181","thala",29754,0.00374969228446215
"182","syria",29593,0.00374686271629798
"183","trumppressbriefing",29154,0.00373760231139706
"184","swasthabharat",29132,0.00373310072568134
"185","washyourhands",29060,0.00372602680527092
"186","lockdowneffect",29025,0.00371072141383746
"187","ajith",28970,0.00369400123832192
