"","Hashtags","Count","Freq"
"1","China",1494692,0.112034841545593
"2","Satyagrahagainstexamsincovid",1117260,0.0837443748044608
"3","Modijipostponejeeneet",934760,0.0700650625568066
"4","Swamyjihelpjeeneet",909677,0.0681849628904619
"5","Protestagainstexamsincovid",851706,0.0638397387243865
"6","Postponejeeneetincovid",647067,0.0485009947296046
"7","Indiaunitedtopostponejeeneet",637551,0.0477877216592009
"8","Neet",587596,0.0440433378601238
"9","Jeeneet",560353,0.0420013351008754
"10","Speakupforstudentsafety",551211,0.0413160952511874
"11","Jee",531884,0.0398674373453769
"12","Antistudentmodigovt",490909,0.0367961506640201
"13","Postponeneetjeetoday",486262,0.0364478341488702
"14","Postponeneetandjee",446784,0.0334887553055119
"15","Wearamask",429886,0.0322221634240825
"16","Postponejeeandneet",420396,0.0315108391872045
"17","Breaking",403324,0.0302312051121801
"18","Neetjee",391776,0.0293656232062299
"19","Postponejeeneet",367038,0.0275113830616684
"20","Hongkong",355718,0.0266628909266359
"21","Lockdown",325096,0.0243676147641829
"22","Pandemic",316149,0.0236969911659376
"23","Ccp",315777,0.0236691078554931
"24","Postponejeeneetsept",308419,0.0231175879677219
"25","Postponeexamsorresignmodi",277290,0.0207843095515179
"26","Antistudentnarendramodi",250289,0.0187604459350856
"27","India",248688,0.0186404427629842
"28","Trump",248565,0.018631223281305
"29","Surakshabeforepariksha",246709,0.0184921065496247
"30","Ntapostponejeeneet",242473,0.0181745965952079
"31","Hydroxychloroquine",240628,0.0180363043700193
"32","Postponejeeneettoday",237977,0.0178375983055342
"33","Sonomacounty",235897,0.0176816916234788
"34","Auspol",228237,0.0171075352847553
"35","Scpostponejeeneet",222015,0.0166411644310298
"36","Ripsubhasrisave30lakh",214044,0.0160436970451336
"37","Blood",197372,0.0147940450243507
"38","Rnc2020",188774,0.0141495807684311
"39","Savejeeneetstudentspm",184910,0.0138599541244588
"40","Neetjee2020",182127,0.013651353982074
"41","Trump2020",176932,0.0132619620526134
"42","Bts",175953,0.0131885809748575
"43","Beirut",175430,0.0131493794389368
"44","Neet2020",171713,0.0128707711998983
"45","Sarscov2",166688,0.0124941216434903
"46","Mannkinahistudentskibaat",166505,0.0124804048536748
"47","Vaccine",157262,0.0117875945352909
"48","Protestagainstexamslncovid",153626,0.0115150576622363
"49","Stayhome",152298,0.0114155172421547
"50","Resignnishankpokhriyal",152245,0.0114115446199677
"51","Btsdynamite",145763,0.0109256854309853
"52","Staysafe",143554,0.010760109536437
"53","Maga",139725,0.0104731063222108
"54","Postponeneetjee",138776,0.010401973898523
"55","Demconvention",128671,0.00964455225324882
"56","Riseagainstexamsincovid",128346,0.00962019183417765
"57","Pawankalyanbirthdaycdp",124515,0.00933303870968032
"58","Lebanon",123597,0.00926422989519623
"59","Superm",122788,0.00920359119049293
"60","Socialdistancing",120187,0.00900863288278801
"61","Indiafightscorona",117582,0.00881337475454067
"62","Studentslivesmatter",117571,0.00881255024804903
"63","Taiwan",116796,0.00875446001795625
"64","Btsarmy",115973,0.0086927719413545
"65","Cancelcompartmentexam2020",115958,0.00869164761432045
"66","Trumpvirus",114265,0.00856474856974358
"67","Pleasepostponejeeneet",112583,0.00843867403165835
"68","Justiceforstudents",111771,0.00837781046154824
"69","Cdnpoli",109887,0.00823659498607109
"70","Kag",108960,0.00816711157536656
"71","Iran",107706,0.00807311783531967
"72","Studentsdislikepmmodi",107547,0.0080611999687587
"73","Blacklivesmatter",107436,0.0080528799487067
"74","Jee2020",106178,0.00795858638811739
"75","Hcq",105132,0.00788018331627604
"76","Master",103706,0.00777329729290533
"77","Postponeneetjeeincovid",102344,0.00767120839821325
"78","Usa",101520,0.0076094453664759
"79","Wearethefuture",100689,0.00754715764878932
"80","Supermthefuture",100345,0.00752137308214168
"81","Superone",100114,0.00750405844581726
"82","Wego100",99952,0.00749191571384948
"83","Cancelcompartment",99939,0.00749094129708663
"84","Superm100",99649,0.00746920430776159
"85","Jalousechina",99603,0.00746575637152382
"86","Jalouse002",99518,0.00745938518499752
"87","Wegohundred",99275,0.00744117108704585
"88","Sopcantsavejeeneet",99205,0.0074359242275536
"89","Jalouse2020",99182,0.00743420025943472
"90","Supermgoes100",98997,0.00742033355934805
"91","Trumpmadeinchina",98504,0.00738338067749549
"92","Hbdmaheshbabu",88056,0.00660024942070923
"93","Modijihelpjeeneet",87096,0.00652829249052979
"94","News",86779,0.00650453171254346
"95","Stayathome",85889,0.00643782164185627
"96","Ccpvirus",85165,0.00638355412367927
"97","Chinese",83247,0.0062397901735916
"98","Wuhan",79861,0.00598599208443786
"99","Chinavirus",79840,0.00598441802659018
"100","Studentskemannkibaat",77660,0.00582101583097437
"101","Tiktok",77001,0.00577162039661161
"102","Pakistan",76491,0.00573339327745378
"103","Russia",75125,0.00563100456221928
"104","Nationalsecuritylaw",74506,0.00558460733328066
"105","Studentlivesmatter",73594,0.0055162482496102
"106","Hrdpostponejeeneet",72630,0.00544399149888834
"107","Masks",72526,0.00543619616478557
"108","Bbnaija",72235,0.00541438422032492
"109","Cdc",72234,0.00541430926518932
"110","Abc15",70617,0.00529310681091833
"111","Lisa",69948,0.00524296182519953
"112","Bloodmatters",68811,0.00515773783601825
"113","Noexamsincovid",68627,0.00514394609106719
"114","Health",68201,0.00511201520330006
"115","Bidenharris2020",67460,0.00505647344781781
"116","Savethechildren",67385,0.00505085181264754
"117","Vaccines",66913,0.00501547298864265
"118","Beijing",66487,0.00498354210087552
"119","Studentsinscforjustice",64575,0.00484022788160147
"120","Odisha",64442,0.00483025884856619
"121","Mannkinahistudentkibaat",63789,0.00478131314501705
"122","Florida",63669,0.00477231852874462
"123","Trumpchaos",63612,0.00476804608601522
"124","Hyderabad",63357,0.0047489325264363
"125","Independenceday",63228,0.00473926331394344
"126","Cancelcompartmentexams2020",62471,0.00468252227629153
"127","Indiaunitedtopostponeneetjee",62140,0.00465771212640674
"128","Mark",61987,0.00464624399065939
"129","Blm",61922,0.00464137190684516
"130","Breakingnews",61843,0.00463545045113247
"131","Bigil",61695,0.00462435709106314
"132","Baekhyun",61601,0.00461731130831641
"133","Lifttheban",61508,0.00461034048070527
"134","Usps",60676,0.00454797780788309
"135","Scamdemic",59809,0.00448299170531478
"136","Payrollsupportprogram",59667,0.00447234807605907
"137","Taeyong",59294,0.00444438981047894
"138","London",59212,0.00443824348935944
"139","Who",58526,0.00438682426633539
"140","Hydroxycholoroquine",58473,0.0043828516441484
"141","Neetjeepostponekaro",58452,0.00438127758630072
"142","Ccot",57741,0.00432798448488657
"143","Medicareforall",56968,0.004270044165065
"144","Hungerstrikeforstudentssafety",56922,0.00426659622882724
"145","Iamagainstexamsincovid",56874,0.00426299838231826
"146","Vmas",56843,0.00426067477311455
"147","Covidiots",56168,0.00421008005658213
"148","Mentalhealth",55406,0.0041529642432522
"149","Kag2020",55298,0.00414486908860701
"150","Biden",55059,0.00412695481119776
"151","Education",54378,0.00407591036385172
"152","Pilots",53381,0.00400118009365494
"153","Tcot",53333,0.00399758224714597
"154","Wearadamnmask",53297,0.00399488386226424
"155","Covid19vic",53292,0.00399450908658622
"156","Mask",52986,0.00397157281509153
"157","Standwithhongkong",52437,0.00393042244564516
"158","Plandemic",51503,0.00386041434899141
"159","Uyghurs",50997,0.003822487050376
"160","Berlin",50754,0.00380427295242433
"161","Fauci",50700,0.00380022537510173
"162","Satyagrahagainstexamincovid",50311,0.00377106782735194
"163","Neetornot",50119,0.00375667644131605
"164","Foxandfriends",50073,0.00375322850507829
"165","Mannkibaat",48821,0.0036593846753026
"166","Swamyjihelpneetjeeaspirants",48532,0.00363772264111316
"167","Covid19india",48423,0.00362955253133237
"168","Foxnews",48191,0.00361216293987234
"169","Excludeduk",47833,0.00358532900132626
"170","Quarantine",47739,0.00357828321857952
"171","Australia",47711,0.00357618447478262
"172","Studentslivesmatters",47313,0.00354635233081239
"173","Maskup",47208,0.00353848204157402
"174","Heroesact",46713,0.00350137924945024
"175","Mtvhottest",46347,0.00347394566981933
"176","Onpoli",45490,0.00340970911860706
"177","Kai",45281,0.00339404349526591
"178","Ten",45274,0.00339351880931668
"179","Joebiden",45056,0.0033771785897551
"180","America",44964,0.00337028271727957
"181","Warroompandemic",44694,0.0033500448306666
