"","hashtags","count","frequency"
"1","china",518409,0.025575067043621
"2","satyagrahagainstexamsincovidna",442254,0.0244308768986323
"3","modijipostponejeeneetna",341205,0.0225898288579371
"4","jee",325940,0.0220507515226761
"5","neet",301378,0.0205832798778291
"6","protestagainstexamsincovidna",294186,0.0200522227420777
"7","indiaunitedtopostponejeeneetna",274608,0.0164306154551193
"8","postponeneetjeetoday",267523,0.016175992859474
"9","postponejeeneetincovid",219206,0.0160091427276204
"10","speakupforstudentsafetyna",215809,0.0158735488873135
"11","jeeneet",213583,0.0143289484079304
"12","postponejeeneetincovidna",211774,0.0140615834392324
"13","swamyjihelpjeeneetna",191167,0.0139316112340958
"14","swamyjihelpjeeneet",187600,0.0130448919799054
"15","neetjee",185866,0.0126870561625339
"16","wearamask",174036,0.0124406036766693
"17","protestagainstexamsincovid",169262,0.0118357157323484
"18","antistudentmodigovtna",165974,0.0109186396482385
"19","postponejeeneet",157904,0.0108974273448627
"20","speakupforstudentsafety",145669,0.0107388222779255
"21","hongkong",145386,0.0107229317891776
"22","postponejeeandneet",143270,0.010040465279507
"23","postponejeeandneetna",143058,0.00995913895737706
"24","swamyjihelpjeeneetswamyjihelpjeeneet",133953,0.00970384176551125
"25","antistudentmodigovt",132868,0.00921071192837527
"26","blood",129462,0.00896913152632492
"27","postponeneetjeetodayna",122883,0.00891838689952129
"28","lockdown",119660,0.00885227646991893
"29","satyagrahagainstexamsincovidsatyagrahagainstexamsincovid",118983,0.00870543935927151
"30","postponejeeneetsept",118101,0.0082285747865615
"31","pandemic",116142,0.00797410210118733
"32","modijipostponejeeneetmodijipostponejeeneet",109780,0.00792200828194284
"33","superm",106385,0.00783850826088045
"34","ccp",105690,0.00771483228713454
"35","postponeexamsorresignmodina",104576,0.00771145930603237
"36","postponeneetandjee",102926,0.00759760245505053
"37","sonomacountysonomacounty",102881,0.00757114329218246
"38","india",101362,0.00752039866537884
"39","postponeneetandjeena",101009,0.00750323393932562
"40","wearethefuture",100332,0.00747962307161049
"41","supermthefuture",100103,0.00747040358993125
"42","modijipostponejeeneet",99788,0.00745811094769226
"43","neet2020",99665,0.0074526392227932
"44","satyagrahagainstexamsincovid",99501,0.00744911633141983
"45","jalousechina",99428,0.00744064640109662
"46","wego100",99381,0.00743854765729972
"47","superone",99268,0.00742370654045021
"48","superm100",99240,0.00740939010954993
"49","wegohundred",99042,0.0074067666798038
"50","supermgoes100",98851,0.00697719879765966
"51","jalouse极度002",98816,0.00678958609324389
"52","postponejeeneetna",93085,0.00670496174514744
"53","lebanon",90582,0.00657401512324798
"54","bts",89453,0.00652454473374961
"55","antistudentnarendramodina",87706,0.00617330496831122
"56","ripsubhasrisave30lakhna",87046,0.00606147190599067
"57","scpostponejeeneetna",82360,0.00600720438781367
"58","postponejeeneettoday",80868,0.00585894312958978
"59","indiaunitedtopostponejeeneet",80144,0.0056793506246836
