"","Hashtags","Count","Freq"
"486","China",5419220,0.514886982300743
"1567","Lockdown",2065367,0.217199485732623
"368","Breaking",1979956,0.193943770502556
"2552","Stayhome",1588589,0.185082764703616
"1212","Hongkong",1301232,0.109191147713539
"1993","Pandemic",1121130,0.114494475787622
"1278","India",1119786,0.110752266465511
"1285","Indiafightscorona",1113039,0.132049453108184
"2542","Stayathome",1107933,0.14026587986202
"2487","Socialdistancing",1062728,0.12595055746126
"1247","Hydroxychloroquine",1049929,0.104005611543113
"2781","Trump",1018348,0.108070439322
"2367","Satyagrahagainstexamsincovid",896840,0.0672227638147187
"461","Ccp",861259,0.0786417205599637
"514","Chinesevirus",815267,0.113937214312366
"1332","Iran",748090,0.085472870337655
"2359","Sarscov2",736969,0.0730980017596483
"1754","Modijipostponejeeneet",731499,0.0548296067388864
"2562","Staysafe",715481,0.0751217613344232
"3112","Wuhan",710936,0.0908832569428832
"323","Blacklivesmatter",707572,0.0546502476508565
"2632","Swamyjihelpjeeneet",693595,0.0519885072789682
"2179","Protestagainstexamsincovid",689457,0.0516783429278405
"197","Auspol",674182,0.0640072589469153
"2556","Stayhomesavelives",653536,0.086266146852551
"470","Cdnpoli",637891,0.0697344727064237
"2097","Postponejeeneetincovid",611310,0.0457569818707139
"3016","Wearamask",605173,0.0450967539542937
"2647","Taiwan",581814,0.0666164659646531
"1863","Nhs",522815,0.0628346271203435
"1300","Indiaunitedtopostponejeeneet",521840,0.0391145879633745
"1632","Maga",518616,0.0490883348855962
"2782","Trump2020",491833,0.0445465643303481
"2518","Speakupforstudentsafety",482368,0.0361559588508298
"3008","Watch",474735,0.053706616348997
"2107","Postponeneetandjee",473176,0.0355049902603481
"1830","Neet",457433,0.0342690520039088
"3072","Who",439854,0.0490499344273853
"2111","Postponeneetjeetoday",437304,0.0327781806199899
"1386","Jeeneet",434756,0.032587194934472
"467","Ccpvirus",430973,0.0499170751830221
"2121","Ppe",422020,0.0511226003210345
"162","Antistudentmodigovt",413582,0.0310000948932017
"1382","Jee",398664,0.0298709907088959
"1353","Italy",391957,0.0547502075537378
"992","Flattenthecurve",381578,0.0501123721561268
"1985","Pakistan",374887,0.0379525443331784
"1446","Kag",373516,0.0358816190046986
"2197","Qanon",366005,0.038303368237362
"2854","Trumpvirus",364127,0.0314713197993635
"995","Florida",359255,0.0345238805859019
"2095","Postponejeeandneet",352696,0.0264363765068418
"506","Chinese",343924,0.0349214279645811
"2558","Stayhomestaysafe",338780,0.0435998292275492
"2096","Postponejeeneet",336873,0.0252733205916809
"2205","Quarantine",333311,0.0399534961816693
"2934","Vaccine",329717,0.031262652275776
"947","Fakenews",321910,0.0340640722838797
"1069","Georgefloyd",319300,0.0258608573354253
"1832","Neetjee",303630,0.0227586278233164
"501","Chinavirus",301935,0.0353485005509372
"2914","Usa",296111,0.0310973187659701
"1664","Marr",281013,0.0254730583566992
"1929","Nyc",278204,0.0359402660915617
"2099","Postponejeeneetsept",274242,0.0204842391374316
"1710","Mentalhealth",272711,0.0291202381185957
"3118","Wwg1wga",272181,0.0272681192671023
"1167","Health",271920,0.0301915108141738
"708","Covidiots",262863,0.0282768723832326
"468","Cdc",256008,0.026647155159658
"338","Blood",242062,0.0180113246514788
"687","Covid19uk",241542,0.0268171297971812
"678","Covid19pandemic",240303,0.0275070415560201
"2751","Togetherathome",235767,0.0306601712109305
"2327","Russia",234416,0.0238529862996226
"2530","Standwithhongkong",233297,0.0191569196966988
"2093","Postponeexamsorresignmodi",226571,0.0169826600288397
"2651","Takeresponsibility",226062,0.0261885293055327
"663","Covid19india",223787,0.025639352072687
"263","Beijing",215615,0.0187998630459998
"1671","Masks",214143,0.0196550268255671
"1939","Odisha",211286,0.0210754565201177
"1447","Kag2020",210793,0.0208198340040969
"1812","Nationalsecuritylaw",210584,0.0162846995957537
"775","Delhi",209286,0.018849407361685
"163","Antistudentnarendramodi",208866,0.0156555793529783
"3092","Worldhealthday",207987,0.0267506088073139
"2498","Sonomacounty",205902,0.0154334123310493
"1952","Onpoli",205025,0.0206743924155556
"956","Fauci",202683,0.0195671932697217
"382","Bts",200550,0.0161668225563268
"1684","Master",200033,0.0170409826140063
"3115","Wuhanvirus",199856,0.023674894129689
"2623","Surakshabeforepariksha",196189,0.0147053730989316
"2100","Postponejeeneettoday",193869,0.0145314771843313
"1168","Healthcare",187867,0.020860622874731
"1917","Ntapostponejeeneet",187554,0.0140581355029947
"353","Borisjohnson",187014,0.0195496638993638
"2903","Update",182964,0.0200318487135334
"1164","Hcq",182322,0.0142426512331371
"2640","Tablighijamaat",180760,0.0217471538451508
"2419","Scpostponejeeneet",179588,0.0134610428927765
"1842","Neverforget",177944,0.0139638606388889
"596","Coronalockdown",177809,0.0273020977464506
"2306","Ripsubhasrisave30lakh",176582,0.0132357277551522
"991","Flatteningthecurve",175276,0.0227698819845913
"1016","Foxnews",174891,0.0170663083216885
"496","Chinaliedpeopledied",174134,0.0220989371087101
"2440","Selfquarantine",173530,0.0225232972910828
"80","Africa",172127,0.0190120162910939
"312","Billgates",171468,0.0169887386157745
"1937","Obamagate",169733,0.013972614900726
"2688","Texas",169186,0.0148949385835754
"705","Covididiots",168314,0.0162471150070201
"204","Awaninews",167401,0.014745474410874
"1323","Inthistogether",165947,0.0200110091185979
"2935","Vaccines",165816,0.0152590984158415
"2879","Txlege",165520,0.0173784204371198
"399","Canada",164293,0.0173983060199743
"2048","Plandemic",163879,0.0144235577234254
"2614","Superm",163678,0.0149514256570934
"644","Coronawarriors",162844,0.0168770776340469
"2660","Tcot",160751,0.0143846937456649
"619","Coronavirusindia",160713,0.0200902073006962
"334","Blm",159588,0.0119556243874563
"369","Breakingnews",159087,0.0152426353417878
"2593","Strongertogether",157253,0.018523801485646
"1850","News",156488,0.0156978564245218
"2207","Quarantinelife",155377,0.0168486030504981
"2674","Telangana",155306,0.0169029230497884
"373","Brexit",154491,0.0155135283590712
"1171","Healthforall",154150,0.0193235079040784
"707","Covidiot",153914,0.0168260800345406
"66","Ableg",153006,0.0148549572326722
"2871","Turkey",152358,0.0186377367588325
"2508","Spain",151538,0.0184491518887055
"1234","Humanrights",149755,0.0147393268256652
"265","Beirut",148053,0.0110973326915175
"1868","Nigeria",146613,0.0173865661515445
"1213","Hongkongers",146315,0.0117672620500952
"539","Climatechange",146129,0.0152423058554058
"1507","Ladakh",145429,0.0112941243674448
"640","Coronavirusuk",144759,0.0172218816378807
"1831","Neet2020",144706,0.0108522337894591
"822","Dogs",144558,0.0148304409718218
"2605","Studentslivesmatter",144040,0.0107848568298614
"176","Arizona",143981,0.0108473120535933
"1459","Kashmir",143734,0.0145930674544262
"1074","Germany",143448,0.015458485542499
"2038","Physicaldistancing",143417,0.0179744280102874
"1656","Mannkinahistudentskibaat",143413,0.0107495408623169
"2541","Stayalert",143098,0.0123011160180549
"1833","Neetjee2020",142537,0.0106838801635281
"1857","Newyork",142465,0.0168839974087165
"199","Australia",142117,0.0132954323844425
"2310","Rnc2020",142006,0.0106440789865226
"1702","Medtwitter",141585,0.0162418484200896
"2378","Savejeeneetstudentspm",140370,0.0105214523846752
"413","Cancelcompartmentexam2020",137674,0.0102026865883429
"1379","Japan",136025,0.0133731089637649
"2285","Resist",135418,0.0133518319610748
"3094","Worldhealthorganization",135100,0.0142545332815254
"2734","Tiktok",133777,0.0108955863634625
"1238","Huntingtonbeach",133744,0.010449501338477
"460","Ccot",132920,0.0114277233779226
"1017","France",132268,0.0148448148823199
"2888","Uighur",130632,0.0108665476209306
"1668","Mask",130426,0.0109357101911275
"2282","Resignnishankpokhriyal",128801,0.00965429642087728
"1884","Noexamsincovid",128486,0.00963016750956964
"2340","Safehands",127920,0.0132878331840003
"1121","Gravitas",127674,0.0113536634850647
"870","Economy",127669,0.0129407517311137
"1015","Foxandfriends",127540,0.0109804737287927
"3113","Wuhancoronavirus",127506,0.0154237652056604
"2108","Postponeneetjee",127458,0.00956515814131317
"3120","Xijinping",127128,0.0119062141482033
"1484","Killercuomo",127011,0.0104070414547867
"1700","Medicareforall",126663,0.0117125430258321
"1291","Indian",126571,0.0116581103410182
"132","Americafirst",126456,0.0122366873090609
"519","Chloroquine",125968,0.0184576562857886
"1528","Lebanon",125805,0.0106473131481537
"131","America",125623,0.0126329493603709
"1790","Mumbai",124347,0.0121333651639643
"3007","Washyourhands",124010,0.0152364620943005
"1243","Hyderabad",123675,0.0107890908097793
"383","Btsarmy",123674,0.0112428364212491
"2063","Pmqs",122521,0.0104469063129662
"2186","Publichealth",122244,0.0127806857952978
"737","Cuba",122115,0.0149106874792482
"340","Bloodmatters",121593,0.00904646903804281
"747","Cybersecurity",121465,0.0124248350260127
"874","Education",120829,0.0114413643848425
"1637","Maharashtra",120034,0.0122978562063619
"2180","Protestagainstexamslncovid",119309,0.00894282227372806
"920","Excludeduk",118281,0.00878067016990384
"868","Ebola",117174,0.0103168488783056
"2585","Stopthespread",116373,0.0138821226822739
"784","Democrats",116301,0.011945862009273
"380","Bt21",116113,0.0145775614639988
"2929","Uyghur",115751,0.00877462126329452
"546","Cnn",115182,0.011238973320499
"1597","London",115143,0.0109592587971811
"1437","Justiceforstudents",114454,0.00858704152595887
"2547","Stayathomesavelives",114033,0.0158058996765815
"1153","Hapuscovid19",113371,0.00894416970434326
"1085","Giveaway",112617,0.0113647446346855
"2142","Prevention",112447,0.0144625659707387
"1947","Onev1",112075,0.00829595013682182
"367","Brazil",111843,0.01066039664983
"1766","Mondaythoughts",111455,0.0103920859358021
"1253","Hygiene",111242,0.0143075828053831
"2594","Studentlivesmatter",110393,0.00828022832426018
"641","Coronavirususa",110353,0.015164141964641
"1942","Ohio",110201,0.012299884337297
"147","Andhrapradesh",109854,0.0119566646602787
"359","Boycottchina",109549,0.00976291295922689
"3015","Wearadamnmask",109441,0.00807795372502497
"1844","New",109250,0.0110566005028778
"2307","Riseagainstexamsincovid",109108,0.0081782049354359
"2830","Trumpownseverydeath",108557,0.0119761489719939
"2690","Thailand",108412,0.0126343673373605
"679","Covid19peru",108060,0.0138983243554565
"1191","Heroesact",107764,0.00847865742225463
"1346","Israel",107417,0.0116856443913735
"2405","Scamdemic",107409,0.0081728531838239
"2917","Usnavy",107141,0.0138227253571681
"3124","Yemen",106862,0.0115509128594059
"2525","Srilanka",106594,0.0126396221727925
"1169","Healthcareheroes",106110,0.0120100797430889
"3005","Warroompandemic",105903,0.00925485693225314
