"","Hashtags","Count","Freq"
"1","China",1746876,0.127067244219921
"2","Breaking",535988,0.0389876087913207
"3","Hongkong",496757,0.0361339574399988
"4","Wearamask",444147,0.0323071215807793
"5","Hydroxychloroquine",401005,0.0291689852447509
"6","Lockdown",393053,0.0285905591137394
"7","Pandemic",303901,0.0221056689688783
"8","Trumpvirus",285304,0.0207529286823566
"9","Ccp",267855,0.0194836935767204
"10","India",240904,0.0175232857979364
"11","Trump",216878,0.0157756416551192
"12","Stayhome",214646,0.015613286634443
"13","Auspol",196862,0.0143196837277644
"14","Socialdistancing",186221,0.0135456605310726
"15","Sarscov2",176268,0.0128216822511484
"16","Staysafe",160706,0.0116897069681
"17","Marr",157869,0.0114833444261383
"18","Trump2020",154500,0.0112382843613272
"19","Indiafightscorona",138342,0.0100629562143348
"20","Florida",131726,0.00958171032867436
"21","Speakupforstudents",126878,0.00922906824075388
"22","Huntingtonbeach",126799,0.00922332180409015
"23","Maga",124853,0.00908177033893065
"24","Blood",113569,0.00826097551217845
"25","Texas",111250,0.00809229213720163
"26","Usa",110072,0.00800660476517805
"27","Iran",107863,0.00784592275770768
"28","Uighur",104291,0.00758609653286198
"29","Wearadamnmask",103353,0.00751786668994337
"30","Masks",101423,0.00737747906005754
"31","Hcq",100953,0.00734329139889363
"32","Stayathome",100650,0.0073212512683986
"33","Safehands",99559,0.00724189225067557
"34","Whitecoatsummit",93968,0.00683520456223427
"35","Blacklivesmatter",93312,0.00678748731601401
"36","Vaccine",91888,0.00668390597665783
"37","Hongkongers",91844,0.00668070542965525
"38","Chinese",90943,0.00661516695580699
"39","Pakistan",89477,0.00650853054885744
"40","Nationalsecuritylaw",84275,0.00613013860550712
"41","Cdnpoli",82595,0.0060079359017723
"42","News",80465,0.00585300033096566
"43","Postponekcet",76316,0.00555120329656341
"44","Cancelcompartmentexam2020",74984,0.00545431401003081
"45","Cdc",73719,0.00536229828370667
"46","Ccpvirus",73687,0.00535997061315934
"47","Russia",72773,0.00529348652315123
"48","Qanon",72394,0.00526591817510629
"49","Wwg1wga",72392,0.00526577269569708
"50","Fakenews",72328,0.00526111735460242
"51","Mask",72271,0.00525697119143999
"52","Who",71911,0.00523078489778253
"53","Promoteayushstudents",71883,0.00522874818605362
"54","Kag",70345,0.00511687452037257
"55","Examsincovidasuicide",69967,0.00508937891203224
"56","Maskup",69905,0.00508486905034679
"57","Fauci",69817,0.00507846795634163
"58","Uyghur",69459,0.00505242714209338
"59","Standwithhongkong",68708,0.00499779962393573
"60","Worldhealthorganization",67902,0.00493917142202486
"61","Houston",67298,0.004895236640444
"62","Postponekcet2020",67090,0.00488010678188636
"63","Beijing",66693,0.00485122911915855
"64","Excludeduk",66536,0.00483980898553571
"65","Delhi",65878,0.00479194625990624
"66","Covidiots",65694,0.00477856215425909
"67","Arizona",65552,0.00476823311620531
"68","Wayfair",64457,0.00468858313966387
"69","Fox35",64280,0.00467570821194895
"70","Truthwithrahulgandhi",63954,0.00465199506824803
"71","Noexammhrd",63579,0.00462471767902151
"72","Blm",63438,0.00461446138067233
"73","Sona2020",63347,0.00460784206755336
"74","Mtvhottest",63196,0.00459685837215815
"75","Health",62024,0.00451160743836219
"76","Hydroxychloroquineworks",60938,0.00443261211916218
