"","hashtags","count","frequency"
"1","china",581712,0.0100177121180711
"2","hongkong",191357,0.00810589446196259
"3","lockdown",137720,0.00807476186839205
"4","wearamask",111437,0.0079932206595309
"5","hydroxychloroquine",111009,0.00739442741123028
"6","pandemic",109888,0.00684946154433667
"7","india",101656,0.00684902510610904
"8","chinachina",94164,0.00684335140914993
"9","breakingbreaking",94158,0.00607892985346587
"10","ccp",94080,0.00589038853913214
"11","breaking",83571,0.0057964815804883
"12","uighurna",80979,0.00559513807814426
"13","socialdistancing",79688,0.00555913192436526
"14","trump2020",76920,0.00552130727797114
"15","chinana",76425,0.00546013318639913
"16","nachina",75905,0.00542805497666874
"17","trump",75064,0.00539837717719028
"18","stayhome",74623,0.00539073950820686
"19","blood",74215,0.00483689939735155
"20","nabreaking",74110,0.00482060570352024
"21","florida",66496,0.0047160060082996
"22","us",66272,0.00461642535269664
"23","nawearamask",64834,0.00460049535738835
"24","staysafe",63465,0.00456165235512979
"25","speakupforstudentsna",63246,0.00446563594505243
"26","huntingtonbeachhuntingtonbeach",62712,0.00436809200117838
"27","maga",61392,0.00433317694296843
"28","auspolna",60051,0.00427018435878132
"29","whitecoatsummitna",59571,0.00418173287798278
"30","texas",58705,0.00416514822533306
"31","marrmarr",57489,0.00409255400013821
"32","auspol",57261,0.0038380377737286
"33","sarscov2",56263,0.00379112066425898
"34","safehands",52764,0.00378973860987151
"35","trumpvirusna",52119,0.00370659712750907
"36","fox35",52100,0.0035764657959724
"37","iran",50957,0.00355973566391347
"38","nationalsecuritylaw",49168,0.00344335213654697
"39","indiafightscorona",48938,0.00338625146843279
"40","hydroxychloroquinehydroxychloroquine",47338,0.00323822616956353
"41","trumpvirus",46553,0.00317530632508101
"42","hydroxychloroquinena",44518,0.00316577742377788
"43","masks",43653,0.00309842045731452
"44","hk",43522,0.00295257734958338
"45","wearamaskna",42596,0.00292326324862795
"46","kag",40591,0.00292144475601285
"47","jeremyvinena",40188,0.00287314559215575
"48","beijing",40163,0.00283772135601357
"49","pakistan",39499,0.0027790204143981
"50","hcq",39012,0.00276898233516274
"51","chinese",38205,0.00276010809120104
"52","russia",38067,0.00275719850301688
"53","usa",37945,0.00273057577113179
"54","wwg1wga",37905,0.00272977563438115
"55","hongkongers",37539,0.00272410193742203
"56","vaccine",37528,0.00257091211952588
"57","arizona",37450,0.00257047568129826
"58","ccot",35344,0.00251199295879659
"59","natrumpvirus",35338,0.00246216626114281
"60","postponekcet",34534,0.00242885147643415
"61","hongkonghongkong",33849,0.00238040683316785
"62","translivesmatterna",33391,0.00232963451935422
"63","tcot",32725,0.00232112397391554
"64","uk",32027,0.00232003287834648
"65","wakeupmhrdna",31910,0.00229937480223893
"66","qanon",31895,0.00218830127330853
"67","stayathome",31611,0.00217833593377777
"68","postponekcet2020",30084,0.00213825635654094
"69","awaninews",29947,0.00213556498747059
"70","morningjoe",29396,0.00212232636123265
"71","who",29359,0.00211032430997298
