"","Hashtags","Count","Freq"
"1","China",1070243,0.0811578181632878
"2","Blacklivesmatter",513801,0.0389621498389762
"3","Breaking",399280,0.0302778842153021
"4","Lockdown",286082,0.0216939432781057
"5","India",264748,0.0200761603141475
"6","Hongkong",250915,0.0190271872317234
"7","Stayhome",202395,0.015347857082138
"8","Pandemic",185719,0.0140832958790365
"9","Georgefloyd",180579,0.0136935234765454
"10","Neverforget",162596,0.0123298508862734
"11","Ccp",156184,0.0118436211888468
"12","Trump",138187,0.0104788869616809
"13","Sarscov2",121998,0.00925125555624731
"14","Staysafe",120561,0.00914228611220455
"15","Socialdistancing",114102,0.00865249234806251
"16","Postponeneetandjee",110406,0.00837222020806111
"17","Cancelapexamspromotestudents",99436,0.00754035187044875
"18","Globalgoalunite",98845,0.00749553562728295
"19","Indiafightscorona",97938,0.00742675672279667
"20","Weakpresident",90903,0.00689328418358947
"21","Watch",87056,0.00660156153137482
"22","Ladakh",85420,0.00647750167719671
"23","Blm",84443,0.00640341458824072
"24","Ebola",82327,0.00624295575484165
"25","Galwanvalley",81878,0.00620890754302871
"26","Arizona",81355,0.00616924782191921
"27","Maga",80349,0.00609296162796861
"28","Pakistan",79638,0.00603904563999756
"29","Canceltsexamspromotestudents",76371,0.0057913050876749
"30","Auspol",74522,0.0056510931864675
"31","Cdnpoli",72384,0.0054889660665208
"32","Delhi",71812,0.00544559061628249
"33","Stayathome",70024,0.00531000441868442
"34","Indiachinafaceoff",65735,0.00498476437310379
"35","Icantbreathe",64187,0.0048673776651162
"36","Blacklivesmattter",64069,0.00485842958272438
"37","Chinese",63671,0.00482824876245366
"38","Wearamask",63025,0.00477926180291879
"39","60minutes",62202,0.00471685271979618
"40","Indian",59682,0.00452575807888614
"41","Iran",58365,0.00442588837964863
"42","Beijing",56050,0.00425033913611421
"43","Indianarmy",53269,0.00403945255025277
"44","Trump2020",52896,0.00401116751014982
"45","Noexamsincovid",50276,0.00381248974856874
"46","Qanon",49549,0.00375736046129033
"47","Standwithhongkong",48146,0.00365096927827573
"48","Taiwan",47067,0.00356914740623528
"49","Healthoverexams",47001,0.0035641425465924
"50","Wwg1wga",46727,0.00354336479595377
"51","Pmqs",46712,0.00354222732785311
"52","Boycottchina",46512,0.00352706108651105
"53","Promoteallcollegestudents",45590,0.00345714471392412
"54","Boycottchineseproducts",44867,0.00340231875147255
"55","Opinion",44763,0.00339443230597467
"56","Obamagate",44639,0.00338502923634259
"57","Navajonation",44492,0.00337388204895617
"58","Anonymous",43941,0.00333209905405878
"59","Editorial",42801,0.003245651478409
"60","Nationalsecuritylaw",42247,0.00320364098989147
"61","Justiceforrobertfuller",42140,0.00319552705077347
"62","Postponeneet",41547,0.00315055914519424
"63","Pride",40713,0.00308731591879782
"64","Modisurrenderstochina",40572,0.00307662371865166
"65","Hydroxychloroquine",40326,0.00305796924180092
"66","Dogs",40169,0.0030460637423474
"67","Coronil",40153,0.00304485044304003
"68","Kag",40150,0.0030446229494199
"69","Gravitas",39750,0.00301429046673577
"70","Nhs",39472,0.0029932093912703
"71","Covid19uk",39297,0.00297993893009599
"72","Junkterrorbillnow",39158,0.00296939839236325
"73","Florida",39081,0.00296355938944656
"74","Junkterrorbill",38777,0.00294050670260661
"75","Usa",38663,0.00293186194504164
"76","Dispatches",38271,0.00290213611201119
"77","Studentlivesmatter",37638,0.00285413495816354
"78","Hawaii",37551,0.00284753764317974
"79","Tiananmensquaremassacre",37305,0.002828883166329
"80","Blood",37186,0.00281985925273047
"81","Fakenews",36647,0.0027789862323136
"82","Telangana",36371,0.00275805681926155
"83","Master",35610,0.00270034927095499
"84","Yulin",35512,0.00269291781269737
"85","Breakingnews",35419,0.00268586551047331
"86","Mentalhealth",34770,0.00263665105731831
"87","Tiktok",34766,0.00263634773249147
"88","Trumprecession",34342,0.00260419530084628
"89","Postponejee",34037,0.00258106678279963
"90","Cancelugexamsap",33988,0.00257735105367083
"91","Turkishstudentlivesmatter",33441,0.00253587138360027
"92","Innerengineeringonline",33412,0.00253367227860567
"93","Worldenvironmentday",33330,0.00252745411965543
"94","Killercuomo",33317,0.00252646831396819
"95","Promotestudentssavefuture",33142,0.00251319785279388
"96","Covidiots",33133,0.00251251537193349
"97","Studentslivesmatter",32398,0.00245677943500139
"98","Texas",32294,0.00244889298950352
"99","Humanrights",31456,0.00238534643828026
"100","Galwanvalleyclash",31113,0.00235933633437862
"101","Howyoulikethat",31037,0.00235357316266863
"102","Chinesevirus",30920,0.00234470091148352
"103","Mask",30896,0.00234288096252247
"104","Excludeduk",30878,0.00234151600080169
"105","Ccpvirus",30728,0.00233014131979514
"106","Lac",30627,0.00232248236791739
"107","Saveapstudents",30235,0.00229275653488694
"108","Drc",29853,0.0022637890139236
"109","Marr",29521,0.00223861305329576
"110","Postponetn10thexam",29457,0.0022337598560663
"111","Patanjali",29296,0.00222155103178594
"112","Mitchmcconnell",28993,0.00219857417615271
"113","Pla",28623,0.00217051662966988
"114","Nepal",28564,0.00216604258847398
"115","Galwan",28392,0.0021529996209198
"116","Trumpvirus",28290,0.00214526483783534
"117","Maketheuturn",28265,0.00214336905766759
"118","Covid19india",28159,0.00213533094975629
"119","Antifa",28141,0.0021339659880355
"120","Newsnight",27763,0.002105301791899
"121","Stayalert",27510,0.00208611649660128
"122","Who",27391,0.00207709258300275
"123","Xijinping",26951,0.00204372685205021
"124","Justiceforandresguardado",26904,0.00204016278533482
"125","Uyghur",26811,0.00203311048311076
"126","Brexit",26687,0.00202370741347868
"127","Stayhomestaysafe",26597,0.00201688260487475
"128","Australia",26550,0.00201331853815936
"129","Boycottmadeinchina",26543,0.00201278771971239
"130","Brazil",26258,0.00199117582579995
"131","Postponejeeneet",26207,0.00198730843425772
"132","Vaccine",26203,0.00198700510943088
"133","Exposebillgates",26188,0.00198586764133022
"134","Takingaknee",26187,0.00198579181012351
"135","Unamerican",26167,0.0019842751859893
"136","Pakchinafriendship",26002,0.0019717630368821
"137","Tulsatrumprally",25965,0.00196895728223382
"138","Txlege",25782,0.00195508017140583
"139","Onpoli",25778,0.00195477684657898
"140","Babetrayal",25746,0.00195235024796425
"141","Kashmir",25643,0.00194453963367309
"142","Yemen",25515,0.00193483323921417
"143","Chinaindiafaceoff",25295,0.00191815037373789
"144","Quarantine",25163,0.00190814065445213
"145","Idiotdeblasio",25083,0.0019020741579153
"146","Restoreoldpension",24938,0.0018910786329423
"147","Mannkibaat",24776,0.00187879397745523
"148","Health",24722,0.00187469909229287
"149","Got7",24268,0.00184027172444638
"150","Ppe",24190,0.00183435689032297
"151","Odisha",24135,0.00183018617395391
"152","Russia",23879,0.00181077338503606
"153","Quarantinelife",23859,0.00180925676090185
"154","Yulindogmeatfestival",23726,0.00179917121040938
"155","Wuhanvirus",23685,0.00179606213093426
"156","Protests2020",23532,0.00178445995630758
"157","Coronaisnotajoke",23435,0.00177710432925667
"158","Savegtustudents",23308,0.00176747376600446
"159","Giveaway",23204,0.00175958732050659
"160","News",22997,0.00174389026071755
