"","hashtags","count","frequency"
"1","china",600276,0.0134767978877672
"2","blacklivesmatter",194646,0.0125584061432984
"3","india",177721,0.0118824467666825
"4","lockdown",165610,0.0100668201844169
"5","neverforgetna",156696,0.0099784009973927
"6","hongkong",132753,0.00838336739544754
"7","pandemic",131587,0.00825316521352589
"8","breakingbreaking",110553,0.00793922401774511
"9","stayhome",108836,0.00742137270712024
"10","georgefloyd",104696,0.00715118611761132
"11","trump",97867,0.00623969501295311
"12","sarscov2",94304,0.00610319884087451
"13","staysafe",82284,0.00577484971581876
"14","breaking",80484,0.00572540776904362
"15","blacklivesmatterblacklivesmatter",76154,0.00567626914709533
"16","socialdistancing",75502,0.00560794522984932
"17","blacklivesmatterna",74854,0.00549563921271131
"18","ccp",73953,0.0049914375192943
"19","arizona",72472,0.00476970707087329
"20","nachina",65823,0.00468227368953627
"21","nabreaking",62899,0.00461379810987684
"22","pakistan",61746,0.00450839273254948
"23","globalgoalunitena",60843,0.00419725729141698
"24","60minutes",59453,0.00404589820282315
"25","chinachina",55350,0.00396210471940823
"26","ladakh",53354,0.0035289568666788
"27","indiafightscorona",52249,0.00342575059434604
"28","chinana",46537,0.00339655557976256
"29","maga",45176,0.00337949355825274
"30","iran",44791,0.00329729253017873
"31","delhi",44566,0.00327022078938315
"32","cancelapexamspromotestudents",43482,0.00323920582583862
"33","navajonation",43125,0.00320060774162306
"34","chinese",42716,0.00319537538836005
"35","us",42207,0.00318278740804613
"36","galwanvalley",42138,0.00315086247002108
"37","icantbreathe",41972,0.00309846310618424
"38","blm",41551,0.00305584596801303
"39","beijing",40860,0.00295590043756881
"40","justiceforrobertfullerna",40298,0.002902970255285
"41","opinion",38980,0.00279612408503014
"42","stayathome",38282,0.00279536577296304
"43","hawaii",36873,0.00271915541021915
"44","blood",36863,0.00269329696873093
"45","trump2020",35858,0.00265500220934221
"46","naeditorial",35517,0.0026131433832381
"47","indianarmy",35012,0.00260897266686904
"48","dogs",34460,0.00254148289289684
"49","canceltsexamspromotestudents",34405,0.00245071293846457
"50","auspolna",33515,0.00242621945869713
"51","indian",32318,0.00242477866576963
"52","stayhomena",31995,0.00242477866576963
"53","taiwan",31976,0.00241689222027176
"54","watch",31976,0.00240946076201415
"55","postponeneetandjeena",31872,0.00239399119584524
"56","hongkongna",31774,0.00236570615574228
"57","qanon",31570,0.00235804720386454
"58","wearamask",31197,0.00234113684476814
"59","usa",31096,0.00233362955530381
"60","nablacklivesmatter",30873,0.0023283972020408
"61","wwg1wga",30774,0.00226568479409135
"62","cdnpoli",30705,0.00226143824651558
"63","nationalsecuritylaw",29878,0.00221942775799805
