"","Hashtags","Count","Freq"
"1","China",505129,0.0826234033424654
"2","Chinesevirus",403897,0.0660649947633411
"3","Stayhome",321872,0.0526482543679852
"4","Stayathome",318817,0.0521485513273536
"5","Indiafightscorona",266611,0.0436092724601796
"6","Socialdistancing",251319,0.0411079765854367
"7","Breaking",244081,0.039924064766094
"8","Italy",227260,0.0371726720176602
"9","Lockdown",214232,0.03504169617041
"10","Wuhan",211433,0.034583866772463
"11","Stayhomesavelives",171423,0.028039474413814
"12","Coronalockdown",134786,0.022046800011319
"13","Pandemic",128231,0.0209746057621077
"14","Trump",127092,0.0207883007659442
"15","India",126751,0.0207325237653368
"16","Taiwan",126569,0.0207027542224907
"17","Stayhomestaysafe",126042,0.0206165534033703
"18","Iran",123907,0.0202673337661367
"19","Flattenthecurve",122661,0.0200635268958823
"20","Ccpvirus",107701,0.0176165359014962
"21","Nyc",104121,0.0170309591795776
"22","Jantacurfew",103728,0.0169666765952999
"23","Cdnpoli",96104,0.0157196271740967
"24","Nhs",92703,0.015163329288274
"25","Staysafe",89600,0.014655774939639
"26","Usnsmercy",88843,0.014531953269669
"27","Chloroquine",80643,0.0131906881524253
"28","Watch",79702,0.0130367698017757
"29","Chinavirus",77286,0.012641587298939
"30","Auspol",76679,0.0125423009664797
"31","Janatacurfew",75631,0.0123708807417392
"32","Benice",75450,0.0123412747678098
"33","Sarscov2",74373,0.012165111044484
"34","Ccp",70542,0.0115384785244644
"35","Kanikakapoor",69006,0.0112872366683563
"36","Quarantine",67444,0.0110317420204131
"37","Ppe",66878,0.0109391620135399
"38","Coronavirusindia",61816,0.010111176157017
"39","Covid19india",58086,0.00950106409758783
"40","Stayathomeandstaysafe",56841,0.00929742079625022
"41","Hydroxychloroquine",56784,0.0092880973679962
"42","Covid19uk",53378,0.00873098163758984
"43","Acnh",50515,0.00826268382897169
"44","Prabhas",50256,0.00822031947953679
"45","Covidiots",50219,0.00821426742961752
"46","Usa",49673,0.0081249588010791
"47","Spain",49457,0.0080896279150639
"48","Animalcrossing",48137,0.007873716944971
"49","Stayathomesavelives",47312,0.00773877258866294
"50","Wuhanvirus",47041,0.0076944454122272
"51","Pakistan",46319,0.00757634865434306
"52","Chinaliedpeopledied",44518,0.00728176103529964
"53","Lockdownnow",44220,0.00723301749811201
"54","Wuhancoronavirus",44187,0.00722761972385968
"55","Washyourhands",42866,0.00701154518485005
"56","Who",41887,0.00685141121536449
"57","Fakenews",41091,0.0067212103576418
"58","Wefeedyou",40053,0.00655142582206875
"59","Qanon",39828,0.00651462281580292
"60","Stayhomeindia",39284,0.00642564132509797
"61","Turkey",39138,0.00640176026325436
"62","Telangana",38657,0.00632308361430384
"63","Florida",37397,0.00611698677921517
"64","Coronavirususa",37174,0.00608051091078281
"65","Chinese",36912,0.0060376558545977
"66","Nigeria",36018,0.00589142524303479
"67","Covidiot",34564,0.00565359603809913
"68","Usnavy",34170,0.00558914988490473
"69","Update",33554,0.00548839143219471
"70","Pmcaresfund",33356,0.00545600478668078
"71","Coronavirusuk",32624,0.00533627233962926
"72","Cuba",32603,0.00533283739237779
"73","Safehands",32595,0.00533152884104389
"74","Pmcares",32525,0.0053200790168723
"75","Getmeppe",32409,0.0053011050225308
"76","Kerala",32315,0.00528572954435752
"77","Physicaldistancing",32278,0.00527967749443825
"78","Stayconnected",31950,0.0052260268897485
"79","21dayslockdown",31550,0.00516059932305368
"80","Coronavirusoutbreakindia",31119,0.00509010111994002
"81","Chinesevirus19",30973,0.00506622005809641
"82","Staysafestayhome",30962,0.0050644208000123
"83","Maga",30184,0.00493716418279088
"84","Modi",29997,0.00490657679536105
"85","Healthcare",29813,0.00487648011468144
"86","Usnscomfort",29744,0.00486519385942658
"87","Stopthespread",29606,0.00484262134891687
"88","Filmyourhospital",29285,0.00479011572664428
"89","Wwg1wga",28997,0.00474300787862401
"90","Kag",28691,0.00469295579010248
"91","Staystrongarmy",28439,0.00465173642308474
"92","Hongkong",28306,0.00462998175715872
"93","Covid19lagos",28152,0.00460479214398121
"94","Endviolence",28139,0.00460266574806363
"95","Medtwitter",28138,0.00460250217914689
"96","Mentalhealth",28015,0.00458238320238824
"97","Inthistogether",27925,0.0045676619998819
"98","Btslovemyself",27668,0.00452562478828048
"99","Andhrapradesh",27617,0.00451728277352689
"100","Tntogetheragainstcorona",27318,0.00446837566742252
"101","Health",27187,0.00444694813932997
"102","Takeresponsibility",26806,0.00438462838205315
"103","Caresact",26505,0.0043353941381153
"104","Dems",26215,0.00428795915226156
"105","Socialdistanacing",26207,0.00428665060092766
"106","Healthforall",25940,0.00424297770015887
"107","Healthworkers",25417,0.0041574311567054
"108","Thankatrucker",25112,0.0041075426371006
"109","Lockdown21",25020,0.0040924942967608
"110","Coronavirustruth",25019,0.00409233072784406
"111","Coronavirussa",24803,0.00405699984182886
"112","Quarantinelife",24663,0.00403410019348567
"113","Selfisolation",24438,0.00399729718721984
"114","21daylockdown",24080,0.00393873951502798
"115","Plankthecurve",24063,0.00393595884344345
"116","France",24050,0.00393383244752586
"117","Newyork",23561,0.00385384724724145
"118","Science",23537,0.00384992159323976
"119","Slowthespread",23364,0.00382162417064425
"120","Vijayabaskar",23268,0.0038059215546375
"121","Cashappwisdom",23248,0.00380265017630276
"122","Hantavirus",23191,0.00379332674804875
"123","Yemen",22898,0.00374540105544479
"124","Srilanka",22870,0.00374082112577615
