"","hashtags","count","frequency"
"1","china",399889,0.0375200923968097
"2","stayhome",268893,0.033217902748792
"3","stayathome",229384,0.0311423767643157
"4","socialdistancing",203082,0.0310548673938614
"5","italy",190393,0.0291865832268909
"6","wuhan",189858,0.0268601425241399
"7","chinesevirus",178436,0.026218788801614
"8","lockdown",164213,0.0255128253569769
"9","breaking",160292,0.0187510499079843
"10","indiafightscorona",155976,0.0187396000838127
"11","taiwan",114637,0.0184589158226919
"12","coronalockdown",114567,0.0180773095399444
"13","stayhomesavelives",112851,0.0173278367634553
"14","pandemic",110518,0.0170582751886727
"15","iran",105936,0.0165718212302967
"16","trump",104288,0.0157997759432979
"17","india",101314,0.0150771284691536
"18","flattenthecurve",96594,0.0137517295368333
"19","ccpvirus",92176,0.0133215432858149
"20","usnsmercy",84073,0.0132587328217879
"21","jantacurfew",81443,0.0125704348201584
"22","nyc",81059,0.0124464495812718
"23","chinesevirusna",76851,0.0123275349788039
"24","nhs",76093,0.0121862114347431
"25","benicena",75366,0.0120946128413704
"26","cdnpoli",74502,0.0120092298668336
"27","chloroquine",73942,0.0115195045301229
"28","watch",73420,0.0110507160147546
"29","staysafe",70426,0.0107818087156389
"30","chinavirus",67560,0.0101993398031383
"31","stayhomestaysafe",65916,0.0101126482772676
"32","sarscov2",62355,0.00972924273643601
"33","janatacurfew",61825,0.00949174066933382
"34","nabreaking",59481,0.00943743578897712
"35","kanikakapoor",58029,0.00918946531120377
"36","ppe",57697,0.00910931654200262
"37","quarantine",56181,0.00894018628209652
"38","ccp",55691,0.00880556906362193
"39","auspol",54657,0.0086747139302323
"40","stayathomena",53834,0.00831159093507606
"41","stayhomestaysafena",53034,0.00761838586594448
"42","coronavirusindia",50814,0.00757880218809411
"43","stayathomeandstaysafe",46576,0.00750356048639507
"44","covid19india",46334,0.00740754553227043
"45","hydroxychloroquine",45874,0.00714338173174011
"46","animalcrossing",45287,0.00706470508278959
"47","chinana",43672,0.00693646705206775
"48","usa",43191,0.00688248930954452
"49","nachinesevirus",42407,0.00659428087825386
"50","prabhas",42077,0.0063021467929615
"51","spain",40315,0.00625700177194208
"52","pakistan",38529,0.00621725452517497
"53","indiafightscoronana",38253,0.00613089013713782
"54","wuhancoronavirus",38010,0.00607658525678112
"55","stayhomeindia",37482,0.00607347744736311
"56","wefeedyouna",37150,0.00602293465209137
"57","covid19uk",37131,0.00583810177617851
"58","acnh",36822,0.0056936704226997
"59","lockdownnow",35692,0.00568778194169717
"60","stayhomesavelivesna",34809,0.00563282278567352
"61","wuhanvirus",34773,0.0055320643329635
"62","stayathomesavelives",34437,0.00532547679112462
"63","covidiots",33821,0.00516746921755664
"64","usnavy",32558,0.00512853981537322
"65","stayconnected",31592,0.00512674055728911
"66","florida",31354,0.00510498589136309
"67","qanon",31343,0.00510449518461288
"68","pmcaresfund",31210,0.00509059182669023
"69","coronavirususa",31207,0.00502647281132931
"70","chinaliedpeopledied",31122,0.00502532782891215
"71","telangana",30730,0.00488040576868313
"72","chinese",30723,0.00479943915489829
"73","washyourhands",29837,0.00477899304030616
"74","us",29342,0.004777848057889
"75","turkey",29217,0.0047601826148814
"76","chineseviruschinesevirus",29210,0.00463816020299557
"77","fakenews",29102,0.00459628656031089
"78","nigeria",28356,0.0045866359942234
"79","who",28100,0.00457142408496685
"80","endviolence",28041,0.00455474005545968
"81","modi",27948,0.00452497051261354
"82","staystrongarmy",27846,0.00452382553019638
"83","힘내세요아미",27664,0.00452333482344616
"84","btslovemyself",27657,0.00443059124765626
"85","우리의응원을이어주세요",27654,0.00438266555505231
"86","usnscomfort",27087,0.00434030120561741
"87","andhrapradesh",26794,0.00428697773876114
"88","kerala",26535,0.00428207067125903
"89","physicaldistancing",26209,0.00424412268257603
"90","safehands",26179,0.00422972861790317
"91","covidiot",25947,0.00421762451806463
"92","dems",25859,0.00417624158213016
"93","pmcares",25785,0.00417346091054563
"94","coronavirusuk",25532,0.00417297020379542
"95","naindiafightscorona",25515,0.00403966153665473
"96","cuba",25512,0.00402559460981535
"97","chinesevirus19",24697,0.00398044958879592
"98","stopthespread",24611,0.00394364658253009
"99","21dayslockdown",24335,0.00388623389275539
"100","takeresponsibility",24110,0.00386693276058041
"101","hongkong",23759,0.00385564650532556
"102","coronavirusoutbreakindia",23641,0.0038469773527385
"103","healthcare",23572,0.00380085091821865
"104","staysafestayhome",23519,0.00378547544004537
"105","maga",23237,0.00376584717003692
"106","medtwitter",23143,0.00372331925168529
"107","mentalhealth",23023,0.0036973117939241
"108","cashappwisdom",22763,0.00365478387557247
"109","health",22604,0.00363253850289623
"110","covid19lagos",22344,0.00363172065831255
"111","uk",22208,0.00361143811263715
"112","france",22203,0.00359753475471451
"113","tntogetheragainstcorona",22079,0.00356645666053447
"114","science",21994,0.00349530418175385
"115","healthworkers",21804,0.00348467220216595
"116","kag",21369,0.00345653834848718
"117","update",21304,0.00344852347156706
"118","filmyourhospital",21132,0.00343936361222979
"119","stayhomena",21083,0.00341531898146944
"120","slowthespread",21027,0.00334694717427336
"121","latscovid19journal",20880,0.00332928173126576
"122","selfisolation",20462,0.00332012187192848
"123","getmeppena",20354,0.00326957907665674
"124","coronavirustruth",20298,0.00326728911182242
"125","newyork",19989,0.00324030024056081
"126","srilanka",19975,0.00322492476238752
"127","caresact",19810,0.00315344514577344
"128","thelockdown",19716,0.00312956408392983
"129","quarantinelife",19279,0.00311484288142349
"130","trump2020",19133,0.0030768948927405
"131","ai",19043,0.00306708075773628
"132","21daylockdown",18811,0.00305955658756637
"133","plankthecurve",18751,0.00303011418255371
"134","inthistogether",18705,0.00302635209746875
"135","covididiots",18525,0.00300705096529378
"136","lockdown21",18502,0.00297482788869659
"137","saudiarabia",18384,0.00296779442527689
"138","nancypelosi",18187,0.00296305092669152
"139","swasthabharat",18144,0.00295569032543835
"140","russia",18115,0.00294276838101613
"141","shelterinplace",18070,0.00293786131351402
"142","2a",17991,0.00292428509342484
"143","yemen",17961,0.00292052300833989
"144","wwg1wga",17878,0.00290629251258377
"145","saferathome",17855,0.00289026275874354
"146","lka",17768,0.00287096162656856
"147","nabhnasional",17670,0.00284675342689148
"148","eu",17552,0.00284282777288979
"149","coronaviruschallenge",17404,0.0028313779487182
"150","hantavirus",17380,0.0028061883355407
"151","socialdistanacing",17310,0.00279490208028584
"152","perintahkawalanpergerakan",17156,0.00278999501278373
"153","animalcrossingnewhorizons",17087,0.00275041133493336
"154","covid19out",17057,0.00274370500934715
"155","jammuandkashmir",16815,0.00271851539616964
"156","coronavirussa",16774,0.00270444846933026
"157","onpoli",16620,0.00268825514657329
"158","live",16534,0.00267402465081717
"159","vijayabaskar",16435,0.0026534149673083
"160","covid19ph",16348,0.00264229228097018
"161","ventilators",16222,0.00264163800530323
"162","news",16154,0.0026388573337187
"163","climatecrisis",16150,0.00261661196104246
"164","syria",16133,0.00260270860311982
"165","lunarnewyear",15997,0.00255232937676481
"166","germany",15912,0.0025284483149212
"167","popefrancis",15604,0.00252452266091951
"168","bbcqt",15458,0.00251732562858308
"169","yournhsneedsyou",15434,0.00251225499216423
"170","cdc",15390,0.00250767506249559
"171","southkorea",15359,0.00248951891273778
"172","africa",15331,0.00247823265748293
"173","luzonlockdown",15220,0.00246171219689248
"174","cdnpolina",15151,0.00245271590647195
"175","txlege",15050,0.00241198724620442
"176","marr",14995,0.00240331809361736
"177","thankatrucker",14746,0.00239284968294619
"178","livingwithcovid",14693,0.0023769834980227
"179","naitaly",14629,0.00236438869143395
"180","democrats",14532,0.00236177158876615
"181","auspolna",14455,0.00235915448609836
"182","trumpvirus",14439,0.00234361543900834
"183","coronavirusnewyork",14423,0.00233739982017233
"184","exclusive",14328,0.00233674554450538
