"","Hashtags","Count","Freq"
"1","China",622760,0.0557146126413733
"2","Lockdown",478400,0.0427995868193734
"3","Hongkong",314328,0.0281210462494983
"4","Breaking",288609,0.0258201211378607
"5","Stayhome",243176,0.0217555023503092
"6","India",178997,0.0160137910574987
"7","Trump",169587,0.0151719346361561
"8","Pandemic",160048,0.0143185373563275
"9","Indiafightscorona",143301,0.0128202834255916
"10","Georgefloyd",123185,0.0110206252139308
"11","Sarscov2",122030,0.0109172942716725
"12","Ccp",121501,0.010869967805478
"13","Covididiots",121098,0.0108339138057117
"14","Stayathome",120033,0.0107386346251878
"15","Hydroxychloroquine",117080,0.0104744473762798
"16","Socialdistancing",112190,0.0100369683220433
"17","Iran",109570,0.00980257259155256
"18","Stayalert",108056,0.00966712406637586
"19","Florida",106009,0.00948399121892758
"20","Staysafe",104389,0.00933905950770813
"21","Maga",103549,0.00926390973152027
"22","Warrington",96606,0.00864276104571987
"23","Qanon",90409,0.00808835251829584
"24","Obamagate",87658,0.00784223700128059
"25","Trump2020",84780,0.00758475955381789
"26","Taiwan",82046,0.00734016492513025
"27","Auspol",81824,0.00732030391285203
"28","Cdnpoli",80572,0.0072082949607244
"29","Who",79568,0.00711847308537605
"30","Fakenews",78955,0.00706363164156276
"31","Kag",78503,0.00702319390485215
"32","Standwithhongkong",76365,0.00683191983165019
"33","Stayhomesavelives",73641,0.00658821984315526
"34","Dominiccummings",69888,0.0062524613788302
"35","Wwg1wga",66421,0.00594228962401672
"36","Nhs",66007,0.00590525152003842
"37","Wuhan",64885,0.00580487289041606
"38","Killercuomo",61948,0.00554211706581635
"39","Marr",59481,0.00532140933027414
"40","Blacklivesmatter",58004,0.00518927097381048
"41","Pakistan",57900,0.00517996671580627
"42","Veday75",56781,0.00507985647824172
"43","Exposecbs",56600,0.00506366349075363
"44","Coronawarriors",55697,0.00498287748135167
"45","Loto",55359,0.00495263864283798
"46","Mentalhealth",53280,0.00476664294677302
"47","Plandemic",53194,0.0047589490411157
"48","Fauci",51798,0.00463405727021301
"49","Borisjohnson",51750,0.00462976299728799
"50","Covid19uk",50991,0.0045618598066611
"51","Covidiots",50664,0.00453260507235939
"52","Whitehouse",49602,0.00443759428389331
"53","Vaccine",48979,0.00438185819988731
"54","Watch",46989,0.00420382480153749
"55","Txlege",46964,0.00420158820105571
"56","Anonymous",46092,0.00412357557625117
"57","Cummings",45342,0.00405647756179772
"58","Kag2020",44593,0.00398946901136354
"59","Quarantine",42988,0.00384587926043316
"60","Usa",42330,0.00378701193575267
"61","Billgates",42308,0.0037850437273287
"62","Ppe",42287,0.003783164982924
"63","Nationalsecuritylaw",41925,0.0037507790079478
"64","Foxnews",41541,0.00371642482454764
"65","Cdc",41470,0.00371007287917938
"66","Justiceforfloyd",40476,0.00362114564402374
"67","Icantbreathe",39350,0.0035204091583243
"68","Tcot",38766,0.00346816217106988
"69","Vaccines",37303,0.00333727631087602
"70","Awaninews",37233,0.00333101382952703
"71","Coronavirusuk",37137,0.00332242528367699
"72","Ccpvirus",35432,0.00316988913081948
"73","Onpoli",35259,0.00315441185548555
"74","Takeresponsibility",35221,0.00315101222275324
"75","Trumpownseverydeath",35137,0.00314349724513445
"76","Chinesevirus",35112,0.00314126064465267
"77","Masks",35101,0.00314027654044069
"78","Hapuscovid19",34899,0.00312220480854789
"79","Health",34777,0.0031112901981968
"80","Wuhanvirus",34616,0.00309688649109413
"81","Hongkongprotests",33808,0.00302459956352294
"82","Eidmubarak",33459,0.00299337662079727
"83","Trumpdeathtoll100k",33447,0.00299230305256602
"84","Stayhomestaysafe",33226,0.00297253150430707
"85","Wha73",32935,0.00294649747469913
"86","Ramadan",32632,0.00291938987685993
"87","Mothersday",32443,0.00290248117721767
"88","Internationalnursesday",32295,0.00288924050236552
"89","Odisha",32264,0.00288646711776811
"90","Brexit",32238,0.00288414105326706
"91","Ridge",32136,0.00287501572330139
"92","Heroesact",31699,0.00283591994687984
"93","Gujarat",31409,0.00280997538129118
"94","Helpfultipstobeatcorona",30448,0.00272400045877149
"95","Bebrave",30323,0.00271281745636258
"96","Lockdown4",30114,0.00269411947633489
"97","Dogs",30067,0.00268991466742914
"98","Covid19india",29658,0.00265332388354719
"99","Hongkongers",29626,0.00265046103493051
"100","Usnavy",29416,0.00263167359088354
"101","Wuhancoronavirus",29061,0.00259991386404225
"102","Humanrights",29040,0.00259803511963755
"103","Cnn",28670,0.00256493343250718
"104","Inthistogether",28576,0.00255652381469568
"105","Resist",28494,0.00254918776511544
"106","Healthcare",27942,0.0024998036264777
"107","Worldpressfreedomday",27630,0.00247189085246506
"108","Standwithhk",26991,0.00241472334415073
"109","Trumpvirus",26917,0.00240810300672465
"110","Chinavirus",26762,0.00239423608373761
"111","Chinese",26674,0.00238636325004173
"112","News",26669,0.00238591592994538
"113","Africa",26597,0.00237947452055785
"114","Giveaway",26586,0.00237849041634586
"115","Americafirst",26512,0.00237187007891979
"116","Onevoice1",26503,0.00237106490274635
"117","Constitutionovercoronavirus",26492,0.00237008079853436
"118","Trumphasnoplan",26472,0.00236829151814894
"119","Remdesivir",26420,0.00236363938914683
"120","Costco",26158,0.00234019981609776
"121","Climatechange",26058,0.00233125341417064
"122","Economy",26040,0.00232964306182375
"123","Bbcqt",25923,0.00231917577156901
"124","Strongertogether",25713,0.00230038832752205
"125","Executiveorder",25696,0.00229886743919444
"126","Lockdownuk",25550,0.00228580569238083
"127","Ladakh",25525,0.00228356909189905
