"","hashtags","count","frequency"
"1","china",415125,0.0153039835286005
"2","lockdown",312886,0.0152644404320826
"3","stayhome",171063,0.0126543276698434
"4","hongkong",170621,0.011975116835536
"5","india",141446,0.0106179476631909
"6","trump",133854,0.0104492185228453
"7","pandemic",118684,0.00962158688056679
"8","covididiots",116798,0.00908363973268867
"9","breaking",107547,0.00787811207300836
"10","florida",101534,0.00773997962725353
"11","indiafightscorona",88059,0.00758708561831894
"12","iran",86515,0.00725329536241785
"13","hydroxychloroquine",84806,0.00717850344230707
"14","maga",81075,0.00699080792987595
"15","socialdistancing",80239,0.00682279450168452
"16","sarscov2",78141,0.00640043486670487
"17","staysafe",76263,0.006214797026717
"18","stayathome",71542,0.00596438723677673
"19","ccp",69467,0.00545453179094978
"20","trump2020",66668,0.0053296400200471
"21","taiwan",60969,0.0052349870876581
"22","breakingbreaking",59573,0.00520188540052773
"23","qanon",58515,0.00498600872202617
"24","who",58145,0.00492821496557693
"25","us",55732,0.00486505336797142
"26","naloto",55086,0.00440028778785719
"27","kag",54380,0.00438892585740974
"28","lockdownna",49185,0.0043635180759367
"29","warrington",49058,0.00430706627977653
"30","wwg1wga",48774,0.00426743371923936
"31","wuhan",48143,0.00423540560034025
"32","whitehouse",47700,0.00412339664821263
"33","veday75warrington",47342,0.00411552381451675
"34","nageorgefloyd",46090,0.00390268891267041
"35","obamagate",46002,0.00389454768691673
"36","cdnpoli",43623,0.00387665488306247
"37","stayalertna",43532,0.00383389108185081
"38","pakistan",43332,0.00380016314658554
"39","nhs",42854,0.00373843297328837
"40","exposecbs",42477,0.0037358385167295
"41","coronawarriors",41787,0.00366659336581354
"42","mentalhealth",41758,0.00358777556483556
"43","fauci",40984,0.00349857993762211
"44","auspol",40103,0.00343210817130356
"45","georgefloydna",39106,0.00341466268754566
"46","vaccine",38363,0.00337565637514339
"47","borisjohnson",38168,0.00331088442519099
"48","najusticeforfloyd",37732,0.00326427367115066
"49","kag2020",37008,0.00325613244539698
"50","stayhomesavelives",36487,0.00323636089713803
"51","tcot",36396,0.0032071956268556
"52","marr",36175,0.00317999856499713
"53","ai",35849,0.00313553494741931
"54","uk",35545,0.00308928204945607
"55","icantbreathe",35048,0.00302728348410108
"56","plandemic",34531,0.00301359548915258
"57","watch",33838,0.00300411230310982
"58","billgates",33685,0.00300303873487857
"59","quarantine",33579,0.00298013594594512
"60","fakenews",33567,0.0028513077581945
"61","nabreaking",33311,0.00284826598153928
"62","usa",31871,0.00283905118755434
"63","covidiots",31837,0.00280013433917134
"64","stayalert",31734,0.00279610845830413
"65","dominiccummings",31299,0.00274457718320388
"66","masks",31254,0.00274001451822105
"67","anonymous",30678,0.00273938827008615
"68","ppe",30627,0.00266414902987901
"69","nalockdown",30620,0.00262550057355383
"70","stayhomesavelivesna",29779,0.00262460593336111
"71","coronavirusuk",29347,0.00261333346693294
"72","bebrave",29337,0.00251331269338766
"73","health",29211,0.00248763651985681
"74","killercuomo",28093,0.00245229823224466
"75","cdc",27806,0.00242170153765389
"76","nachina",27411,0.00239996178097097
"77","covid19uk",27069,0.00237070704666926
"78","dogs",26826,0.0023674863419755
"79","stayhomena",26499,0.00235603494750878
"80","hapuscovid19",26463,0.00231103454581533
"81","blacklivesmatterna",26335,0.00228759497276626
"82","txlege",25832,0.00227041788106617
"83","standwithhongkongna",25570,0.0022566404220984
"84","nationalsecuritylaw",25378,0.00224456277949678
"85","historyrepeatingna",25224,0.0022242544471222
"86","odisha",25089,0.00216404516215264
"87","mothersday",24862,0.00216234534578649
"88","ramadan",24189,0.00214328950968171
"89","cdnpolina",24170,0.00212154975299879
"90","ridge",23957,0.00211698708801595
"91","georgefloyd",23714,0.00210320962904818
"92","healthcare",23663,0.00209488947525595
"93","auspolna",23509,0.00208925324204186
"94","wuhanvirus",23416,0.00208817967381061
"95","lockdownuk",23353,0.00208513789715538
"96","stayhomestaysafe",23341,0.00205704619510421
"97","chinana",23307,0.00205659887500785
"98","foxandfriends",22993,0.00204809979317708
"99","brexit",22988,0.00204684729690728
"100","resist",22893,0.00203145948559262
"101","takeresponsibility",22879,0.00200462027981125
"102","remdesivir",22707,0.00199701583817319
"103","trumpownseverydeath",22407,0.00199495816572995
"104","americafirst",22322,0.00198869568438096
"105","wha73",22299,0.00197974928245383
"106","trumpdeathtoll100kna",22229,0.00196293004683084
"107","ccpvirus",22129,0.00193456995272184
"108","socialdistanacing",21941,0.00192803907931504
"109","cnn",21624,0.00192499730265982
"110","vaccines",21551,0.00191846642925302
"111","standwithhongkong",21517,0.00187722351636896
"112","africa",21444,0.00185449965547406
"113","news",20983,0.00184850556618289
"114","economy",20729,0.00183660685161981
"115","naisthisthewaytobarnardcastle",20662,0.00181307781455147
"116","gujarat",20529,0.00181298835053219
"117","onpoli",20266,0.00179724268314045
"118","climatechange",20265,0.00179724268314045
"119","ccot",20089,0.00179393251442741
"120","cummings",20089,0.0017890119933675
"121","healthforall",20052,0.00177040347735907
"122","hongkonghongkong",19997,0.00176736170070385
"123","chinese",19789,0.00176029404318142
"124","worldpressfreedomday",19755,0.00174741122440636
"125","blacklivesmatter",19676,0.00174088035099955
"126","humanrights",19532,0.00171842488216247
"127","caa",19459,0.00171269918492911
"128","executiveorder",19208,0.00170339492692489
"129","indiafightscoronana",19144,0.00169874279792279
"130","turkey",19040,0.00169686405351809
"131","brazil",18988,0.00167512429683517
"132","hongkongna",18967,0.00166098898179031
"133","covid19india",18724,0.00163262888768132
"134","awaninews",18566,0.00161831464459792
"135","nwo",18249,0.00161241001932602
"136","kagna",18089,0.001596574887915
"137","hongkongchina",18023,0.00158619706167954
"138","education",17846,0.00157725065975241
"139","dobbsna",17730,0.00157071978634561
"140","eu",17630,0.00156222070451484
"141","france",17557,0.00155488465493459
"142","maharashtra",17462,0.00155461626287678
"143","constitutionovercoronavirusna",17380,0.0015505009179903
"144","heroesact",17377,0.00154092826792828
"145","lockdownextension",17331,0.00153878113146577
"146","delhi",17224,0.00152679295288342
"147","chinahongkong",17200,0.00152312492809329
"148","covid19pandemic",17066,0.00151954636732244
"149","australia",17025,0.00151695191076358
"150","hongkongprotests",16985,0.00150952639716406
"151","hongkongers",16956,0.00150183249150673
"152","facemask",16873,0.00149879071485151
"153","bbcqtna",16787,0.00148850235263531
"154","swasthabharat",16753,0.00148367129559467
"155","assamcovidcount",16638,0.00147937702266965
"156","inthistogether",16584,0.00147875077453475
"157","giveaway",16536,0.00147866131051548
"158","quarantinelife",16529,0.00147561953386025
"159","internationalnursesday",16528,0.00147007276466543
"160","chinavirus",16494,0.00146819402026074
"161","canada",16432,0.00146720991604875
"162","covid1948",16411,0.00145969493842997
"163","qanonna",16400,0.00145012228836794
"164","usnavy",16316,0.00144904872013669
"165","california",16209,0.00144824354396325
"166","business",16197,0.00143723946959288
"167","germany",16188,0.00142999288403191
"168","strongertogether",16065,0.00142856145972357
"169","chinachina",15984,0.0014278457475694
"170","mondaythoughts",15968,0.00142095701808551
"171","marrna",15960,0.00140780580725263
"172","nyc",15883,0.00140592706284794
"173","flattenthecurve",15736,0.00139966458149895
"174","txlegena",15715,0.00139841208522915
"175","eidmubarak",15645,0.00139742798101717
"176","liberty",15631,0.00137899839304729
"177","russia",15620,0.00137380947992955
"178","dogcatmeattrade",15414,0.00136736807054202
"179","dudukrumah",15356,0.00136593664623368
"180","wetmarkets",15284,0.00136110558919303
"181","nacostco",15268,0.00135994255694251
"182","mumbai",15214,0.00135260650736226
"183","cardiovascular",15201,0.00134491260170493
"184","wwg1wgaworldwide",15119,0.00134348117739659
"185","obamagatena",15033,0.00134088672083773
"186","migrantworkers",15017,0.00133954476054866
"187","xijinping",14988,0.00133310335116113
"188","trumpvirus",14973,0.0013300615745059
"189","unitedagainstcoronavirus",14901,0.00132836175813975
"190","report",14867,0.00132317284502202
"191","covidiot",14848,0.00131861018003918
"192","lockdown4",14790,0.00131619465151886
"193","naoann",14739,0.00130626414537975
"194","italy",14712,0.00130617468136048
"195","foxnews",14601,0.00130161201637764
"196","killercuomona",14600,0.00128810294946768
"197","beijing",14549,0.00128023011577181
"198","iot",14398,0.00127879869146347
"199","nhsna",14310,0.00127548852275043
"200","kayburley",14294,0.00127334138628792
"201","cats",14257,0.00127137317786395
"202","cybersecurity",14233,0.00126144267172484
"203","wuhancoronavirus",14211,0.00126099535162849
"204","srilanka",14100,0.00126027963947432
"205","icymi",14095,0.0012593849992816
"206","plagueofcorruption",14087,0.00125491179831804
"207","standwithhk",14077,0.00125294358989407
"208","ladakh",14027,0.00125106484548938
"209","ableg",14005,0.00124453397208257
"210","5g",13984,0.00124265522767788
"211","n95",13911,0.00124158165944662
"212","hcq",13890,0.00123845041877213
"213","memorialday",13878,0.00123531917809763
"214","banyulin",13843,0.00123433507388565
"215","chinesevirus",13808,0.00123433507388565
"216","nigeria",13797,0.00122690956028613
"217","publichealth",13797,0.00122163118314913
"218","michigan",13714,0.00121876833453245
"219","morningjoe",13655,0.00121760530228192
"220","physicaldistancing",13623,0.00120669069193083
"221","kashmir",13610,0.00120159124283237
"222","nathelastdance",13488,0.0011971180418688
"223","democrats",13431,0.00119470251334848
"224","newyork",13381,0.00119327108904014
"225","israel",13354,0.00118835056798022
"226","webinar",13338,0.00118235647868904
"227","wethepeople",13283,0.0011821775506505
"228","saturdaythoughts",13216,0.00117341007676192
"229","50swomen",13214,0.00116965258795252
"230","chloroquine",13116,0.00116857901972127
"231","love",13074,0.00116374796268062
"232","babetrayal",13062,0.00116312171454572
"233","update",13008,0.00115524888084985
"234","america",13001,0.0011541753126186
